time_s,full_target_worst_distance_m,center_point_distance_m,bottom_center_distance_m,threshold_m
5.10000000,22.76607694,22.18681824,22.45739858,10.00000000
5.11666667,22.69475380,22.11763305,22.38732334,10.00000000
5.13333333,22.62341621,22.04843471,22.31723453,10.00000000
5.15000000,22.55206423,21.97922328,22.24713219,10.00000000
5.16666667,22.48069790,21.90999879,22.17701636,10.00000000
5.18333333,22.40931725,21.84076129,22.10688707,10.00000000
5.20000000,22.33792234,21.77151083,22.03674437,10.00000000
5.21666667,22.26651320,21.70224744,21.96658831,10.00000000
5.23333333,22.19508988,21.63297118,21.89641893,10.00000000
5.25000000,22.12365243,21.56368209,21.82623627,10.00000000
5.26666667,22.05220090,21.49438023,21.75604038,10.00000000
5.28333333,21.98073533,21.42506564,21.68583131,10.00000000
5.30000000,21.90925577,21.35573837,21.61560910,10.00000000
5.31666667,21.83776237,21.28639847,21.54537381,10.00000000
5.33333333,21.76625512,21.21704600,21.47512547,10.00000000
5.35000000,21.69473403,21.14768100,21.40486415,10.00000000
5.36666667,21.62319916,21.07830354,21.33458990,10.00000000
5.38333333,21.55165056,21.00891366,21.26430276,10.00000000
5.40000000,21.48008828,20.93951143,21.19400279,10.00000000
5.41666667,21.40851238,20.87009689,21.12369005,10.00000000
5.43333333,21.33692292,20.80067011,21.05336458,10.00000000
5.45000000,21.26531995,20.73123116,20.98302645,10.00000000
5.46666667,21.19370354,20.66178007,20.91267571,10.00000000
5.48333333,21.12207374,20.59231693,20.84231243,10.00000000
5.50000000,21.05043061,20.52284179,20.77193665,10.00000000
5.51666667,20.97877422,20.45335471,20.70154845,10.00000000
5.53333333,20.90710463,20.38385576,20.63114788,10.00000000
5.55000000,20.83542190,20.31434500,20.56073500,10.00000000
5.56666667,20.76372610,20.24482251,20.49030989,10.00000000
5.58333333,20.69201729,20.17528835,20.41987260,10.00000000
5.60000000,20.62029555,20.10574259,20.34942320,10.00000000
5.61666667,20.54856095,20.03618529,20.27896176,10.00000000
5.63333333,20.47681355,19.96661655,20.20848835,10.00000000
5.65000000,20.40505342,19.89703641,20.13800304,10.00000000
5.66666667,20.33328065,19.82744497,20.06750590,10.00000000
5.68333333,20.26149530,19.75784230,19.99699700,10.00000000
5.70000000,20.18969745,19.68822847,19.92647641,10.00000000
5.71666667,20.11788718,19.61860356,19.85594422,10.00000000
5.73333333,20.04606457,19.54896766,19.78540049,10.00000000
5.75000000,19.97422969,19.47932084,19.71484531,10.00000000
5.76666667,19.90238263,19.40966320,19.64427876,10.00000000
5.78333333,19.83052348,19.33999480,19.57370092,10.00000000
5.80000000,19.75865231,19.27031575,19.50311186,10.00000000
5.81666667,19.68676922,19.20062613,19.43251168,10.00000000
5.83333333,19.61487429,19.13092602,19.36190046,10.00000000
5.85000000,19.54296762,19.06121552,19.29127829,10.00000000
5.86666667,19.47104928,18.99149473,19.22064525,10.00000000
5.88333333,19.39911943,18.92176373,19.15000144,10.00000000
5.90000000,19.32717824,18.85202263,19.07934695,10.00000000
5.91666667,19.25522567,18.78227151,19.00868187,10.00000000
5.93333333,19.18326183,18.71251049,18.93800630,10.00000000
5.95000000,19.11128682,18.64273966,18.86732034,10.00000000
5.96666667,19.03930073,18.57295912,18.79662408,10.00000000
5.98333333,18.96730369,18.50316899,18.72591763,10.00000000
6.00000000,18.89529578,18.43336937,18.65520109,10.00000000
6.01666667,18.82327712,18.36356037,18.58447456,10.00000000
6.03333333,18.75124783,18.29374209,18.51373816,10.00000000
6.05000000,18.67920800,18.22391466,18.44299198,10.00000000
6.06666667,18.60715776,18.15407820,18.37223615,10.00000000
6.08333333,18.53509722,18.08423280,18.30147077,10.00000000
6.10000000,18.46302650,18.01437861,18.23069596,10.00000000
6.11666667,18.39094572,17.94451573,18.15991183,10.00000000
6.13333333,18.31885501,17.87464430,18.08911851,10.00000000
6.15000000,18.24675449,17.80476444,18.01831612,10.00000000
6.16666667,18.17464429,17.73487629,17.94750478,10.00000000
6.18333333,18.10252454,17.66497996,17.87668462,10.00000000
6.20000000,18.03039537,17.59507560,17.80585577,10.00000000
6.21666667,17.95825692,17.52516334,17.73501835,10.00000000
6.23333333,17.88610932,17.45524332,17.66417250,10.00000000
6.25000000,17.81395272,17.38531569,17.59331837,10.00000000
6.26666667,17.74178726,17.31538059,17.52245608,10.00000000
6.28333333,17.66961309,17.24543816,17.45158577,10.00000000
6.30000000,17.59743036,17.17548855,17.38070760,10.00000000
6.31666667,17.52523940,17.10553193,17.30982171,10.00000000
6.33333333,17.45304018,17.03556844,17.23892825,10.00000000
6.35000000,17.38083286,16.96559824,17.16802737,10.00000000
6.36666667,17.30861760,16.89562150,17.09711923,10.00000000
6.38333333,17.23639456,16.82563838,17.02620398,10.00000000
6.40000000,17.16416391,16.75564904,16.95528179,10.00000000
6.41666667,17.09192583,16.68565367,16.88435282,10.00000000
6.43333333,17.01968048,16.61565243,16.81341724,10.00000000
6.45000000,16.94742804,16.54564550,16.74247522,10.00000000
6.46666667,16.87516870,16.47563306,16.67152694,10.00000000
6.48333333,16.80290263,16.40561530,16.60057257,10.00000000
6.50000000,16.73063003,16.33559241,16.52961230,10.00000000
6.51666667,16.65835109,16.26556458,16.45864630,10.00000000
6.53333333,16.58606599,16.19553201,16.38767478,10.00000000
6.55000000,16.51377495,16.12549488,16.31669791,10.00000000
6.56666667,16.44147817,16.05545342,16.24571590,10.00000000
6.58333333,16.36917584,15.98540783,16.17472895,10.00000000
6.60000000,16.29686819,15.91535831,16.10373726,10.00000000
6.61666667,16.22455542,15.84530509,16.03274104,10.00000000
6.63333333,16.15223790,15.77524838,15.96174051,10.00000000
6.65000000,16.07991579,15.70518842,15.89073586,10.00000000
6.66666667,16.00758925,15.63512542,15.81972734,10.00000000
6.68333333,15.93525849,15.56505963,15.74871516,10.00000000
6.70000000,15.86292378,15.49499128,15.67769956,10.00000000
6.71666667,15.79058534,15.42492061,15.60668077,10.00000000
6.73333333,15.71824342,15.35484788,15.53565902,10.00000000
6.75000000,15.64589828,15.28477333,15.46463456,10.00000000
6.76666667,15.57355018,15.21469723,15.39360765,10.00000000
6.78333333,15.50119938,15.14461984,15.32257853,10.00000000
6.80000000,15.42884616,15.07454143,15.25154746,10.00000000
6.81666667,15.35649077,15.00446227,15.18051472,10.00000000
6.83333333,15.28413352,14.93438264,15.10948056,10.00000000
6.85000000,15.21177467,14.86430284,15.03844527,10.00000000
6.86666667,15.13941453,14.79422314,14.96740913,10.00000000
6.88333333,15.06705341,14.72414386,14.89637242,10.00000000
6.90000000,14.99469182,14.65406528,14.82533544,10.00000000
6.91666667,14.92232985,14.58398774,14.75429848,10.00000000
6.93333333,14.84996781,14.51391153,14.68326186,10.00000000
6.95000000,14.77760604,14.44383699,14.61222589,10.00000000
6.96666667,14.70524486,14.37376445,14.54119088,10.00000000
6.98333333,14.63288461,14.30369424,14.47015717,10.00000000
7.00000000,14.56052565,14.23362671,14.39912507,10.00000000
7.01666667,14.48816831,14.16356221,14.32809495,10.00000000
7.03333333,14.41581297,14.09350111,14.25706713,10.00000000
7.05000000,14.34346000,14.02344376,14.18604198,10.00000000
7.06666667,14.27110977,13.95339054,14.11501985,10.00000000
7.08333333,14.19876266,13.88334185,14.04400113,10.00000000
7.10000000,14.12641915,13.81329806,13.97298618,10.00000000
7.11666667,14.05407974,13.74325958,13.90197540,10.00000000
7.13333333,13.98174466,13.67322682,13.83096918,10.00000000
7.15000000,13.90941434,13.60320019,13.75996792,10.00000000
7.16666667,13.83708921,13.53318014,13.68897203,10.00000000
7.18333333,13.76476970,13.46316708,13.61798195,10.00000000
7.20000000,13.69245626,13.39316147,13.54699809,10.00000000
7.21666667,13.62014936,13.32316376,13.47602090,10.00000000
7.23333333,13.54784947,13.25317443,13.40505084,10.00000000
7.25000000,13.47555706,13.18319394,13.33408836,10.00000000
7.26666667,13.40327263,13.11322279,13.26313393,10.00000000
7.28333333,13.33099683,13.04326147,13.19218804,10.00000000
7.30000000,13.25873015,12.97331050,13.12125118,10.00000000
7.31666667,13.18647299,12.90337039,13.05032385,10.00000000
7.33333333,13.11422589,12.83344169,12.97940657,10.00000000
7.35000000,13.04198941,12.76352493,12.90849988,10.00000000
7.36666667,12.96976410,12.69362068,12.83760430,10.00000000
7.38333333,12.89755055,12.62372951,12.76672040,10.00000000
7.40000000,12.82534934,12.55385199,12.69584874,10.00000000
7.41666667,12.75316109,12.48398874,12.62498990,10.00000000
7.43333333,12.68098653,12.41414037,12.55414446,10.00000000
7.45000000,12.60882634,12.34430750,12.48331305,10.00000000
7.46666667,12.53668101,12.27449076,12.41249628,10.00000000
7.48333333,12.46455119,12.20469084,12.34169478,10.00000000
7.50000000,12.39243759,12.13490838,12.27090922,10.00000000
7.51666667,12.32034088,12.06514409,12.20014025,10.00000000
7.53333333,12.24826179,11.99539867,12.12938856,10.00000000
7.55000000,12.17620105,11.92567284,12.05865485,10.00000000
7.56666667,12.10415957,11.85596734,11.98793984,10.00000000
7.58333333,12.03213810,11.78628294,11.91724426,10.00000000
7.60000000,11.96013730,11.71662040,11.84656887,10.00000000
7.61666667,11.88815796,11.64698053,11.77591443,10.00000000
7.63333333,11.81620091,11.57736414,11.70528175,10.00000000
7.65000000,11.74426701,11.50777208,11.63467162,10.00000000
7.66666667,11.67235713,11.43820518,11.56408489,10.00000000
7.68333333,11.60047236,11.36866434,11.49352240,10.00000000
7.70000000,11.52861354,11.29915046,11.42298503,10.00000000
7.71666667,11.45678148,11.22966446,11.35247367,10.00000000
7.73333333,11.38497715,11.16020729,11.28198924,10.00000000
7.75000000,11.31320154,11.09077991,11.21153269,10.00000000
7.76666667,11.24145567,11.02138334,11.14110499,10.00000000
7.78333333,11.16974076,10.95201858,11.07070712,10.00000000
7.80000000,11.09805784,10.88268669,11.00034010,10.00000000
7.81666667,11.02640787,10.81338874,10.93000499,10.00000000
7.83333333,10.95479197,10.74412585,10.85970284,10.00000000
7.85000000,10.88321129,10.67489914,10.78943477,10.00000000
7.86666667,10.81166708,10.60570977,10.71920190,10.00000000
7.88333333,10.74016080,10.53655895,10.64900539,10.00000000
7.90000000,10.66869341,10.46744790,10.57884644,10.00000000
7.91666667,10.59726620,10.39837787,10.50872627,10.00000000
7.93333333,10.52588048,10.32935017,10.43864614,10.00000000
7.95000000,10.45453773,10.26036612,10.36860734,10.00000000
7.96666667,10.38323949,10.19142709,10.29861119,10.00000000
7.98333333,10.31198693,10.12253448,10.22865907,10.00000000
8.00000000,10.24078155,10.05368973,10.15875236,10.00000000
8.01666667,10.16962485,9.98489432,10.08889252,10.00000000
8.03333333,10.09851874,9.91614977,10.01908103,10.00000000
8.05000000,10.02746451,9.84745765,9.94931940,10.00000000
8.06666667,9.95646377,9.77881957,9.87960920,10.00000000
8.08333333,9.88551824,9.71023719,9.80995205,10.00000000
8.10000000,9.81463003,9.64171220,9.74034960,10.00000000
8.11666667,9.74380057,9.57324635,9.67080355,10.00000000
8.13333333,9.67303171,9.50484145,9.60131567,10.00000000
8.15000000,9.60232550,9.43649935,9.53188775,10.00000000
8.16666667,9.53168400,9.36822195,9.46252165,10.00000000
8.18333333,9.46110897,9.30001121,9.39321929,10.00000000
8.20000000,9.39060255,9.23186916,9.32398262,10.00000000
8.21666667,9.32016720,9.16379788,9.25481369,10.00000000
8.23333333,9.24980476,9.09579949,9.18571458,10.00000000
8.25000000,9.17951753,9.02787621,9.11668744,10.00000000
8.26666667,9.10930822,8.96003031,9.04773448,10.00000000
8.28333333,9.03917884,8.89226413,8.97885798,10.00000000
8.30000000,8.96913203,8.82458007,8.91006031,10.00000000
8.31666667,8.89917051,8.75698061,8.84134388,10.00000000
8.33333333,8.82929662,8.68946832,8.77271119,10.00000000
