case,feasible,union_duration_s
baseline,True,7.6096654515
x1_minus,True,7.2043773354
x1_plus,True,7.4898601731
x2_minus,True,7.6009326011
x2_plus,False,0.0000000000
x3_minus,False,0.0000000000
x3_plus,True,7.6000147073
x4_minus,True,7.6064116998
x4_plus,True,7.6019282209
x5_minus,True,7.6064116998
x5_plus,True,7.6110296994
delay_1_minus,True,7.6016736844
delay_1_plus,True,7.5703718722
delay_2_minus,True,7.6096654515
delay_2_plus,True,7.6005639730
delay_3_minus,True,7.6032985421
delay_3_plus,True,7.6107566356
