bomb,explosion_time_s,time_s,worst_distance_m,threshold_m
1,3.614000000,3.614000000,16.124366078,10.000000000
1,3.614000000,3.620893348,16.097140528,10.000000000
1,3.614000000,3.627786695,16.069917431,10.000000000
1,3.614000000,3.634680043,16.042696815,10.000000000
1,3.614000000,3.641573391,16.015478707,10.000000000
1,3.614000000,3.648466738,15.988263137,10.000000000
1,3.614000000,3.655360086,15.961050134,10.000000000
1,3.614000000,3.662253434,15.933839727,10.000000000
1,3.614000000,3.669146781,15.906631945,10.000000000
1,3.614000000,3.676040129,15.879426819,10.000000000
1,3.614000000,3.682933477,15.852224376,10.000000000
1,3.614000000,3.689826824,15.825024649,10.000000000
1,3.614000000,3.696720172,15.797827666,10.000000000
1,3.614000000,3.703613520,15.770633459,10.000000000
1,3.614000000,3.710506868,15.743442058,10.000000000
1,3.614000000,3.717400215,15.716253494,10.000000000
1,3.614000000,3.724293563,15.689067797,10.000000000
1,3.614000000,3.731186911,15.661885001,10.000000000
1,3.614000000,3.738080258,15.634705135,10.000000000
1,3.614000000,3.744973606,15.607528232,10.000000000
1,3.614000000,3.751866954,15.580354505,10.000000000
1,3.614000000,3.758760301,15.553183810,10.000000000
1,3.614000000,3.765653649,15.526016174,10.000000000
1,3.614000000,3.772546997,15.498851630,10.000000000
1,3.614000000,3.779440344,15.471690212,10.000000000
1,3.614000000,3.786333692,15.444531953,10.000000000
1,3.614000000,3.793227040,15.417376885,10.000000000
1,3.614000000,3.800120387,15.390225044,10.000000000
1,3.614000000,3.807013735,15.363076462,10.000000000
1,3.614000000,3.813907083,15.335931174,10.000000000
1,3.614000000,3.820800430,15.308789214,10.000000000
1,3.614000000,3.827693778,15.281650618,10.000000000
1,3.614000000,3.834587126,15.254515419,10.000000000
1,3.614000000,3.841480473,15.227383654,10.000000000
1,3.614000000,3.848373821,15.200255358,10.000000000
1,3.614000000,3.855267169,15.173130566,10.000000000
1,3.614000000,3.862160516,15.146009315,10.000000000
1,3.614000000,3.869053864,15.118891640,10.000000000
1,3.614000000,3.875947212,15.091777579,10.000000000
1,3.614000000,3.882840559,15.064667168,10.000000000
